Age,FL
4,445
4,378
4,368
4,433
4,382
4,351
4,390
4,396
4,378
4,374
4,404
4,390
4,378
4,380
4,373
4,374
4,413
4,371
4,378
4,360
4,406
4,391
4,388
4,366
4,366
4,366
4,343
4,348
4,326
4,355
4,369
4,402
4,429
4,398
4,378
4,330
4,364
4,422
4,358
4,372
4,378
4,384
4,398
4,376
4,412
4,398
4,339
4,382
4,436
4,360
4,412
4,400
4,317
4,392
4,360
4,396
4,391
4,432
4,413
4,346
4,499
4,400
4,386
4,405
4,365
4,386
4,387
4,390
4,414
4,374
4,376
4,378
4,366
4,386
4,414
4,428
4,404
4,438
4,420
4,405
4,335
4,420
4,400
4,395
4,416
4,398
4,428
4,371
4,364
4,372
4,367
4,387
4,398
4,366
4,383
4,399
4,373
4,414
4,384
4,383
4,383
4,374
4,391
4,361
4,405
4,410
4,435
4,373
4,396
4,395
4,338
4,390
4,331
4,396
4,404
4,381
4,374
4,344
4,390
4,391
4,396
4,357
4,377
4,382
4,451
4,391
4,360
4,410
4,392
4,378
4,403
4,390
4,378
4,407
4,388
4,397
4,408
4,355
4,411
4,355
4,340
4,394
4,432
4,380
4,357
4,395
4,395
4,336
4,430
4,392
4,412
4,409
4,403
4,399
4,416
4,371
4,338
4,426
4,382
4,410
4,452
4,378
4,391
4,423
4,404
4,433
4,372
4,389
4,364
4,410
4,362
4,409
4,428
4,418
4,348
4,384
4,391
4,367
4,378
4,376
4,395
4,335
4,398
4,410
4,446
4,411
4,375
4,342
4,340
4,412
4,431
4,354
4,369
4,430
4,397
4,377
4,398
4,376
4,386
4,362
4,364
4,380
4,358
4,388
4,412
4,384
4,364
4,410
4,384
4,385
4,395
4,465
4,397
4,384
4,415
4,384
4,394
4,373
4,379
4,370
4,385
4,415
4,375
4,435
4,425
4,400
4,405
4,390
4,401
4,388
4,402
4,400
4,405
4,391
4,380
4,420
4,455
4,420
4,368
4,395
4,399
4,402
4,378
4,380
4,376
4,383
4,395
4,388
4,392
4,377
4,395
4,402
4,383
4,369
4,398
4,371
4,365
4,387
4,393
4,391
4,390
4,389
4,397
4,376
4,442
4,350
4,470
4,405
4,370
4,343
4,338
4,420
4,382
4,362
4,367
4,412
4,400
4,378
4,435
4,364
4,344
4,394
4,430
4,352
4,370
4,372
4,365
4,396
4,391
4,395
4,338
4,418
4,385
4,410
4,380
4,360
4,430
4,405
4,408
4,438
4,423
