Country,Latitude,Longitude,Year,Month,Day,Secchi (m),NLA *,State,Water Body,County (Borough/Parrish),GNIS ID,GNIS Feature Name,GNIS Class,GNIS County,GNIS Latitude,GNIS Longitude,GNIS Elevation (m)
USA,39.7789,-82.7875,1994,10,1,0.889,,Ohio,Waibel Pond,Fairfield,35023.3,Unnamed (Waibel Pond),,,,,
USA,39.7789,-82.7875,1994,10,15,0.6858,,Ohio,Waibel Pond,Fairfield,35023.3,Unnamed (Waibel Pond),,,,,
USA,39.7789,-82.7875,1994,10,29,1.1684,,Ohio,Waibel Pond,Fairfield,35023.3,Unnamed (Waibel Pond),,,,,
USA,39.7789,-82.7875,1995,5,14,0.4064,,Ohio,Waibel Pond,Fairfield,35023.3,Unnamed (Waibel Pond),,,,,
USA,39.7789,-82.7875,1995,5,28,1.27,,Ohio,Waibel Pond,Fairfield,35023.3,Unnamed (Waibel Pond),,,,,
USA,39.7789,-82.7875,1995,6,11,0.7112,,Ohio,Waibel Pond,Fairfield,35023.3,Unnamed (Waibel Pond),,,,,
USA,39.7789,-82.7875,1995,6,28,0.4064,,Ohio,Waibel Pond,Fairfield,35023.3,Unnamed (Waibel Pond),,,,,
USA,39.7789,-82.7875,1995,7,14,0.5842,,Ohio,Waibel Pond,Fairfield,35023.3,Unnamed (Waibel Pond),,,,,
USA,39.7789,-82.7875,1995,7,27,0.2032,,Ohio,Waibel Pond,Fairfield,35023.3,Unnamed (Waibel Pond),,,,,
USA,39.7789,-82.7875,1995,8,14,0.4064,,Ohio,Waibel Pond,Fairfield,35023.3,Unnamed (Waibel Pond),,,,,
USA,39.7789,-82.7875,1995,8,31,0.2286,,Ohio,Waibel Pond,Fairfield,35023.3,Unnamed (Waibel Pond),,,,,
USA,39.7789,-82.7875,1995,9,14,0.1778,,Ohio,Waibel Pond,Fairfield,35023.3,Unnamed (Waibel Pond),,,,,
USA,39.7789,-82.7875,1995,10,16,0.508,,Ohio,Waibel Pond,Fairfield,35023.3,Unnamed (Waibel Pond),,,,,
